player,difference_in_salary,estimated_salary,actual_salary
Joffrey Lauvergne,1468403.83691825,2992708.83691825,1524305
John Collins,9109441.06982397,11046361.069824,1936920
John Henson,-6266527.63747978,5156008.36252022,11422536
John Wall,-3193139.1664193,14870710.8335807,18063850
Jon Leuer,-6952897.88946299,3544421.11053701,10497319
Jonas Jerebko,-374114.341586725,3625885.65841328,4E+06
Jonas Valanciunas,-6532611.68253909,8928063.31746091,15460675
Jonathan Gibson,3946384.17701208,3990879.17701208,44495
Jonathan Isaac,1548379.17854915,5734699.17854915,4186320
Jonathon Simmons,-860040.227493836,5439959.77250616,6300000
Jordan Bell,1064810.62506906,1880425.62506906,815615
Jordan Clarkson,-629989.162865702,10932510.8371343,11562500
Jordan Crawford,7949705.69191823,8257895.69191823,308190
Jordan Mickey,-1000032.86012918,471349.139870817,1471382
Jose Calderon,4529140.79569388,6000522.79569388,1471382
Josh Gray,3294454.81357375,3395830.81357375,101376
Josh Hart,3872338.12972055,5266858.12972055,1394520
Josh Huestis,-705535.022740273,765846.977259727,1471382
Josh Jackson,3772137.35766404,8862177.35766404,5090040
Josh McRoberts,-4474527.7725844,1546647.2274156,6021175
Josh Richardson,7481270.23128945,8952652.23128945,1471382
Josh Smith,10657411.7197965,10867911.7197965,210500
Josh Smith,5536182.71979653,10867911.7197965,5331729
Jrue Holiday,-13762445.4583531,11924221.5416469,25686667
Julius Randle,7478851.97587671,11628093.9758767,4149242
Julyan Stone,-1888224.1535353,-363919.153535301,1524305
Justin Anderson,1466604.3356997,3046044.3356997,1579440
Justin Holiday,798590.270775512,5413975.27077551,4615385
Justin Jackson,1979016.74782058,4344576.74782058,2365560
Justin Patton,-2516580.04207306,-269100.042073064,2247480
Justise Winslow,3486736.30214072,6191776.30214072,2705040
Jusuf Nurkic,5439391.41732585,8386696.41732585,2947305
Karl-Anthony Towns,11307202.8028429,17524042.8028429,6216840
Kawhi Leonard,-5059933.75727807,13808691.2427219,18868625
Kelly Olynyk,-3730784.93923958,6876384.06076042,10607169
Kelly Oubre Jr.,4221702.36541197,6314742.36541197,2093040
Kemba Walker,3501742.18406569,15501742.1840657,1.2E+07
Kendrick Perkins,2677065.55951612,2690221.55951612,13156
Kenneth Faried,-4906706.84154114,8014641.15845886,12921348
Kent Bazemore,-11152431.4195655,5757681.58043446,16910113
Kentavious Caldwell-Pope,-9270305.5581888,8475588.4418112,17745894
Kevin Durant,-3344849.69602291,21655150.3039771,2.5E+07
Kevin Love,-8639942.92045789,14002407.0795421,22642350
Kevon Looney,1117223.70862782,2588605.70862782,1471382
Khem Birch,1537150.93582571,2352765.93582571,815615
Khris Middleton,-2299250.04596647,11800749.9540335,14100000
Klay Thompson,-2657037.84712585,15169112.1528741,17826150
Kosta Koufos,-5041658.52691093,3351341.47308907,8393000
Kris Dunn,1696626.86747595,5743386.86747595,4046760
Kristaps Porzingis,9374959.44521396,13878559.445214,4503600
Kyle Anderson,752780.6817383,2904484.6817383,2151704
Kyle Korver,-57727.7558847917,6942272.24411521,7E+06
Kyle Kuzma,11827239.9116708,13250799.9116708,1423560
Kyle Lowry,-17881597.9136563,10822106.0863437,28703704
Kyle O'Quinn,-741516.582215114,3345983.41778489,4087500
Kyle Singler,-542582.002548123,4123917.99745188,4666500
Kyrie Irving,-1527274.81873231,17341350.1812677,18868625
LaMarcus Aldridge,-6121021.62545131,15339988.3745487,21461010
Lance Stephenson,1461902.7642135,5641902.7642135,4180000
Lance Thomas,-3720244.80809183,2935080.19190817,6655325
Langston Galloway,-1327688.79987452,5338978.20012548,6666667
Larry Drew II,792084.341877291,940402.341877291,148318
Larry Drew II,866243.341877291,940402.341877291,74159
Larry Nance Jr.,3515548.55472906,4986930.55472906,1471382
Lauri Markkanen,8842257.58072782,12663897.5807278,3821640
LeBron James,-11554044.8267001,21731664.1732999,33285709
Lonzo Ball,820270.158983767,7106830.15898377,6286560
Lou Williams,3530695.58188461,10530695.5818846,7E+06
Luc Mbah a Moute,2449655.92538455,3921037.92538455,1471382
Lucas Nogueira,-1680682.09041625,1266622.90958375,2947305
Luke Babbitt,416877.34690899,2391036.34690899,1974159
Luke Kennard,2919925.58423335,5679205.58423335,2759280
Luol Deng,-5553042.17952205,11636957.8204779,17190000
Malachi Richardson,-941972.55738018,562587.44261982,1504560
Malcolm Brogdon,8022120.079705,9334731.079705,1312611
Malcolm Delaney,789937.66985016,3289937.66985016,2500000
Malik Beasley,2788886.8131353,4489526.8131353,1700640
Malik Monk,1980463.97894219,4884943.97894219,2904480
Manu Ginobili,7414393.3015695,9914393.3015695,2500000
Marc Gasol,-11308004.4467578,11334345.5532422,22642350
Marcin Gortat,-5812848.34369099,6969760.65630901,12782609
Marco Belinelli,567969.516475029,6874029.51647503,6306060
Marco Belinelli,6097812.51647503,6874029.51647503,776217
Marcus Georges-Hunt,-1671541.8657539,-358930.865753897,1312611
Marcus Morris,3312175.26047725,8312175.26047725,5E+06
Marcus Smart,1880766.51944821,6418786.51944821,4538020
Mario Chalmers,3947405.10114158,6053812.10114158,2106407
Mario Hezonja,616919.053857399,4695239.0538574,4078320
Markelle Fultz,-1857014.06663937,5169225.93336063,7026240
Markieff Morris,388552.331960386,8388552.33196039,8E+06
Marquese Chriss,1897357.4895128,4971157.4895128,3073800
Marquis Teague,-78274.3812067639,79670.6187932361,157945
Marreese Speights,3770200.43856131,5241582.43856131,1471382
MarShon Brooks,4807773.5416615,5140250.5416615,332477
