"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"268","Kenneth Faried","2018",-1.880325,"farieke01",12921348,"2017-18",2018,2017,"Denver Nuggets",1,"54.6",11.4,"Center and Power Forward"
"269","Kent Bazemore","2018",-1.236868,"bazemke01",16910113,"2017-18",2018,2017,"Atlanta Hawks",1.9,"41.9",8.7,"Small Forward and Shooting Guard"
"270","Kentavious Caldwell-Pope","2018",-1.517907,"caldwke01",17745894,"2017-18",2018,2017,"Los Angeles Lakers",1.6,"41.2",11.9,"Shooting Guard"
"271","Kevin Durant","2018",1.12622,"duranke01",2.5e+07,"2017-18",2018,2017,"Golden State Warriors",4.1,"49.3",27,"Power Forward and Small Forward and Shooting Guard"
"272","Kevin Love","2018",-1.060585,"loveke01",22642350,"2017-18",2018,2017,"Cleveland Cavaliers",2.3,"44.2",18.3,"Center and Power Forward"
"273","Kevon Looney","2018",3.592211,"looneke01",1471382,"2017-18",2018,2017,"Golden State Warriors",1,"59.5",4.5,"Center and Power Forward"
"274","Khem Birch","2018",0.9504299,"birchkh01",815615,"2017-18",2018,2017,"Orlando Magic",0.8,"57.4",4.5,"Center"
"275","Khris Middleton","2018",-0.7578376,"middlkh01",14100000,"2017-18",2018,2017,"Milwaukee Bucks",3.2,"45.1",15.7,"Shooting Guard and Small Forward"
"276","Klay Thompson","2018",0.4861483,"thompkl01",17826150,"2017-18",2018,2017,"Golden State Warriors",2.3,"45.9",19.5,"Shooting Guard"
"277","Kosta Koufos","2018",0.6138446,"koufoko01",8393000,"2017-18",2018,2017,"Sacramento Kings",0.5,"53.4",5.7,"Center"
"278","Kris Dunn","2018",-0.4368064,"dunnkr01",4046760,"2017-18",2018,2017,"Chicago Bulls",4.4,"41.7",8.6,"Point Guard"
"279","Kristaps Porzingis","2018",2.35305,"porzikr01",4503600,"2017-18",2018,2017,"New York Knicks",1.3,"43.7",17.8,"Power Forward"
"280","Kyle Anderson","2018",-0.5509226,"anderky01",2151704,"2017-18",2018,2017,"San Antonio Spurs",1.9,"49.2",5.3,"Small Forward"
"281","Kyle Korver","2018",0.5102124,"korveky01",7e+06,"2017-18",2018,2017,"Cleveland Cavaliers",1.7,"44.3",9.9,"Small Forward and Shooting Guard and Power Forward"
"282","Kyle Kuzma","2018",0.1220691,"kuzmaky01",1423560,"2017-18",2018,2017,"Los Angeles Lakers",2.2,"45.3",17.3,"Power Forward"
"283","Kyle Lowry","2018",0.7621993,"lowryky01",28703704,"2017-18",2018,2017,"Toronto Raptors",6.1,"42.4",14.4,"Point Guard"
"284","Kyle O'Quinn","2018",1.514011,"oquinky01",4087500,"2017-18",2018,2017,"New York Knicks",1.3,"51.8",5.6,"Center and Power Forward"
"285","Kyle Singler","2018",1.586451,"singlky01",4666500,"2017-18",2018,2017,"Oklahoma City Thunder",0.8,"41.8",6.5,"Small Forward"
"286","Kyrie Irving","2018",-1.106325,"irvinky01",18868625,"2017-18",2018,2017,"Boston Celtics",5.7,"46.5",22.2,"Point Guard"
"287","LaMarcus Aldridge","2018",1.440049,"aldrila01",21461010,"2017-18",2018,2017,"San Antonio Spurs",2,"49.1",19.6,"Power Forward and Center"
"288","Lance Stephenson","2018",-1.57359,"stephla01",4180000,"2017-18",2018,2017,"Indiana Pacers",2.9,"44.4",8.6,"Small Forward and Shooting Guard"
"289","Lance Thomas","2018",0.751981,"thomala01",6655325,"2017-18",2018,2017,"New York Knicks",0.7,"41.7",5.2,"Power Forward and Small Forward"
"290","Langston Galloway","2018",-1.126087,"gallola01",6666667,"2017-18",2018,2017,"Detroit Pistons",1.7,"38.7",8.2,"Shooting Guard and Point Guard"
"291","Larry Drew II","2018",0.4926705,"drewla02",148318,"2017-18",2018,2017,"New Orleans Pelicans",2.5,"32.9",2.9,"Point Guard"
"292","Larry Drew II","2018",0.4926705,"drewla02",74159,"2017-18",2018,2017,"Philadelphia 76ers",2.5,"32.9",2.9,"Point Guard"
"293","Larry Nance Jr.","2018",-0.2686556,"nancela02",1471382,"2017-18",2018,2017,"Cleveland Cavaliers",1.7,"53.9",7.7,"Center and Power Forward"
"294","Lauri Markkanen","2018",-0.6910609,"markkla01",3821640,"2017-18",2018,2017,"Chicago Bulls",1.3,"43.2",16.7,"Power Forward"
"295","LeBron James","2018",0.0629269,"jamesle01",33285709,"2017-18",2018,2017,"Cleveland Cavaliers",7.2,"50.4",27.2,"Shooting Guard and Small Forward and Power Forward"
"296","Lonzo Ball","2018",1.393338,"balllo01",6286560,"2017-18",2018,2017,"Los Angeles Lakers",6.4,"38.0",10,"Point Guard"
"297","Lou Williams","2018",-0.5816922,"willilo02",7e+06,"2017-18",2018,2017,"Los Angeles Clippers",3.3,"42.1",14.2,"Shooting Guard and Point Guard"
"298","Luc Mbah a Moute","2018",0.2740562,"mbahalu01",1471382,"2017-18",2018,2017,"Houston Rockets",0.9,"45.4",6.4,"Small Forward and Power Forward"
"299","Lucas Nogueira","2018",1.266305,"noguelu01",2947305,"2017-18",2018,2017,"Toronto Raptors",0.5,"63.2",3.2,"Center"
"300","Luke Babbitt","2018",-1.501436,"babbilu01",1974159,"2017-18",2018,2017,"Miami Heat",0.6,"40.8",4.8,"Small Forward and Power Forward"
"301","Luke Kennard","2018",-1.155739,"kennalu01",2759280,"2017-18",2018,2017,"Detroit Pistons",1.8,"44.1",8.6,"Shooting Guard"
"302","Luol Deng","2018",6.049096,"denglu01",17190000,"2017-18",2018,2017,"Los Angeles Lakers",2.3,"45.6",14.8,"Power Forward and Small Forward"
"303","Malachi Richardson","2018",-2.779273,"richama01",1504560,"2017-18",2018,2017,"Toronto Raptors",0.3,"35.8",2.8,"Shooting Guard"
"304","Malcolm Brogdon","2018",-0.5358074,"brogdma01",1312611,"2017-18",2018,2017,"Milwaukee Bucks",3.6,"48.4",12.8,"Shooting Guard and Point Guard"
"305","Malcolm Delaney","2018",-0.0739758,"delanma01",2500000,"2017-18",2018,2017,"Atlanta Hawks",2.8,"37.7",5.7,"Point Guard"
"306","Malik Beasley","2018",-1.039444,"beaslma01",1700640,"2017-18",2018,2017,"Denver Nuggets",0.8,"46.1",7.2,"Shooting Guard"
"307","Malik Monk","2018",-3.331438,"monkma01",2904480,"2017-18",2018,2017,"Charlotte Hornets",1.5,"37.6",7.9,"Shooting Guard"
"308","Manu Ginobili","2018",1.156407,"ginobma01",2500000,"2017-18",2018,2017,"San Antonio Spurs",3.8,"44.7",13.3,"Shooting Guard"
"309","Marc Gasol","2018",0.7389863,"gasolma01",22642350,"2017-18",2018,2017,"Memphis Grizzlies",3.4,"48.3",15,"Center"
"310","Marcin Gortat","2018",0.8181264,"gortama01",12782609,"2017-18",2018,2017,"Washington Wizards",1.1,"55.1",9.9,"Power Forward and Center"
"311","Marco Belinelli","2018",-1.2144,"belinma01",6306060,"2017-18",2018,2017,"Atlanta Hawks",1.7,"42.5",10,"Shooting Guard and Small Forward"
"312","Marco Belinelli","2018",-1.2144,"belinma01",776217,"2017-18",2018,2017,"Philadelphia 76ers",1.7,"42.5",10,"Shooting Guard and Small Forward"
"313","Marcus Georges-Hunt","2018",-1.579524,"georgma01",1312611,"2017-18",2018,2017,"Minnesota Timberwolves",0.2,"41.8",1.6,"Shooting Guard"
